mean_total_return,w_HOLD+Galaxis+EURO+Abszolút+Hozamú+Alapok+Alapja,w_HOLD+Hozamkereső+Európai+Származtatott+Részvény+Befektetési+Alap,w_HOLD+Kötvény+Befektetési+Alap,w_HOLD+Közép-európai+Részvény+Befektetési+Alap,w_HOLD+Nemzetközi+Részvény+Alapok+Alapja+A+sorozat,w_HOLD+Orion+Abszolút+Hozamú+Származtatott+Befektetési+Alap+B+sorozat+EUR,w_HOLD+Részvény+Befektetési+Alap+A+sorozat+HUF,w_HOLD+Részvény+Befektetési+Alap+B+sorozat+EUR,w_HOLD+Rövid+Futamidejű+Kötvény+Befektetési+Alap,w_HOLD+Széf+USD+Abszolút+Hozamú+Befektetési+Alap,w_HOLD+VM+Abszolút+Hozamú+Származtatott+Befektetési+Alap+C+sorozat,w_HOLD+VM+EURO+Abszolút+Hozamú+Alapok+Alapja,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+A+sorozat+HUF,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+B+sorozat+EUR,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+C+sorozat+USD,w_Platina+Delta+Abszolút+Hozamú+Származtatott+Befektetési+Alap+E+sorozat+EUR,w_Platina+Delta+Abszolút+Hozamú+Származtatott+Befektetési+Alap+X+sorozat+HUF,w_Superposition+Abszolút+Hozamú+Származtatott+Befektetési+Alap+A+sorozat,w_Superposition+Abszolút+Hozamú+Származtatott+Befektetési+Alap+D+sorozat+EUR
0.138865664601326,0.017260415592701864,0.00409153244423238,0.06579137830867407,0.10207507840141244,0.0964435440928053,0.017406338575855166,0.23048841641837625,0.058593382960432594,0.025356009469129314,0.03707310711769935,0.014862480768300273,0.04525117315483342,0.03322617513501118,0.01767499482986562,0.0465798906753363,0.09201511093625767,0.02792956792484457,0.00012364610412080992,0.06775775709011148
0.13828778266906738,0.0020350338829365627,0.01086885870306189,0.04632062340898287,0.10987084956941195,0.029448824128727784,0.048601091019722736,0.1802911875004185,0.16208191869733482,0.05741917910443007,0.01064684386145967,0.05932606528700629,0.07919554182996826,0.04654466667166836,0.0016029419413098151,0.06941993887322455,0.006580016860498439,0.043813798311715356,0.017096176859889147,0.018836443488232858
0.13828027248382568,0.04871462894981592,0.011257946764193519,0.021733133380820384,0.1893747573120022,0.0803514203482441,0.00012623147428100166,0.154653001824633,0.05050682114597571,0.016427002445786786,0.010942677531133425,0.05807681608846472,0.13292214652825166,0.04422689622294602,0.006687558683478964,0.012938430782591505,0.030748344310186956,0.015163436279466378,0.068865287039297,0.0462834628884307
0.1377880573272705,0.10588557019743138,0.02685134355329659,0.03333440128726984,0.17268518406918834,0.023007745197552276,0.0009140095213163857,0.03303950472992088,0.31265459265312134,0.031118061992268443,0.019446111855549692,0.032682157255539274,0.0028968576166335932,0.030192079272133375,0.0057006237903104336,0.023962697156825048,0.022639075476380836,0.02220849008917959,0.04740209700795473,0.0533793972781279
0.137428417801857,0.16040456752126842,0.06237341397595507,0.032901538950873846,0.17746879521468725,0.1292724150870989,0.01324054369067745,0.06014108721289207,0.06573076887823419,0.011502187887891053,0.000667136669293145,0.030339589725005268,0.00022288686244366598,0.027195985423910926,0.014698463464029242,0.034825328287190205,0.031309887337976246,0.01661527737454467,0.07838170351621195,0.05270842291981633
0.1370323896408081,0.06445327044719319,0.06832909053732494,0.011531231103957987,0.08065528163063784,0.3547740474811208,0.01445301608134844,0.010697199975850233,0.05111433607529555,0.0033218990896770467,0.09518643350644952,0.03243761552175152,0.00908104274873186,0.008816015571719616,0.06768655550308784,0.02027721790050876,0.008479137667428199,0.01615290481347861,0.04831970414093894,0.03423400020349893
0.13659296929836273,0.06077457530350358,0.017157663795756232,0.08740662735663347,0.14541685130410045,0.05824990685727989,0.18122342847473655,0.041666145799236255,0.08863940252322548,0.007111635844524458,0.007211587446653568,0.01075194598513385,0.03730360765806378,0.0024688822657834646,0.014138619933951544,0.025016393357972146,0.06891847263910963,0.02724954510942971,0.030713180705269717,0.08858152763963659
0.1363760381937027,0.029095732609999495,0.02794140229416372,0.002696559904321067,0.004471419993694374,0.22247473268048343,0.07271797481131084,0.1633543246410315,0.03096969596893799,0.08457374355330097,0.027333367093530018,0.10327628609625018,0.07194086699469411,0.007011197074743407,0.018029372835091883,0.002387813843359997,0.010765795114720297,0.04928177892401051,0.023118337530082068,0.04855959803627408
0.13611914217472076,0.015569329752112787,0.06538165542037452,0.008831826687974081,0.10149920719838806,0.02341719310749407,0.04622443398192902,0.2703523814591088,0.03336015664368546,0.02736897092528413,0.09071758718117771,0.038169084477934566,0.009630321937583751,0.012427886931444171,0.11180946516211326,0.02548808147401522,0.012860500163484648,0.07687471512894387,0.012076440650512714,0.017940761716439428
0.1360846906900406,0.03581206826319555,0.044231206753651886,0.013727719941086415,0.06005286377956142,0.0420018244107533,0.36285560184090937,0.03423161236209459,0.03619560014604167,0.021200657576359895,0.06453398932246518,0.014976803626648395,0.01897926919872763,0.05272011946268174,0.023811206604772175,0.0477167068116692,0.01458981597461336,0.03963915817086048,0.05892882673853168,0.013794949015376019
0.13601945340633392,0.04312018554141997,0.08499430127265434,0.004710679553781429,0.10521561084478388,0.05506410221480321,0.21968129686937643,0.013673085060265055,0.1489816961733575,0.007294512352748955,0.041259831150781454,0.024054980093799687,0.032029805805393226,0.025528907637809437,0.06316807726834255,0.015243935195042038,0.0557911187125421,0.0565993217445951,0.0019100224242648099,0.0016785300842389716
0.1359923928976059,0.008652113378979628,0.05479858330900165,0.020023043307247124,0.1398369204194014,0.013226087259010172,0.19332777004848492,0.1236611505425366,0.011663709866786812,0.04726092884125579,0.07620406168834803,0.004989694827264266,0.07376773880235854,0.017383861208506043,0.03241806416069618,0.049813681530525865,0.014089660214628227,0.001309498684158607,0.06450994366411644,0.053063488246693456
0.13574175536632538,0.03457063596657239,0.008295459750996293,0.05330759818366771,0.08342209165412288,0.11132806161788214,0.11973213388079629,0.14651384000113932,0.016806711968343702,0.079271751892278,0.002600307712675945,0.013517739808097218,0.020435868525244462,0.07485063345205618,0.011846437137597803,0.003105587162199306,0.02496197999722244,0.004136648259066451,0.039397261591351214,0.15189925143869012
0.13545763492584229,0.04679972312470304,0.02376221403370032,0.005302705824304038,0.12256013083918647,0.014133561218227866,0.02019290919904966,0.22912661342346466,0.08163861659185531,0.06480444245672387,0.0063429383164536725,0.0036133417674195562,0.013026750385941909,0.010902516032773332,0.06825343183940086,0.04709181603120861,0.025448908382098356,0.1671598668520674,0.04550783640749534,0.004331677273925627
0.1351403295993805,0.034319891440061354,0.027915216977405097,0.011865895562429191,0.12576585821333067,0.04101185973338262,0.015455617098766403,0.21238575770137627,0.010106328857458704,0.1942807826547099,0.0003724880327502922,0.0410275739466552,0.012254820710112909,0.0005991677973033205,0.07012336868000431,2.7079663900918727e-05,0.026865307221130293,0.021736167706009866,0.13147056577361285,0.022416252229599903
0.13510477542877197,0.008863419874063591,0.0066894033613797066,0.005520538863538981,0.20697955258390402,0.023301415141110057,0.05473439992915747,0.13464061373653155,0.05882495488874603,0.05141054348611202,0.1378475812447645,0.0206096274258664,0.01806993786386797,0.0897680433113303,0.01884267024721882,0.03142250867884599,0.07018777920042915,0.03459276031228473,0.0253931733036554,0.002301076547193274
0.13507217168807983,0.018698279039587314,0.03127702194507077,0.008163102631316796,0.22670784546546255,0.0920908276661864,0.09894454389309888,0.02598919328380726,0.02793795605116343,0.03833346540200828,0.10184348595937182,0.02863636566371491,0.12405851834451388,0.013846754815871287,0.026703310938832416,0.010577394252680776,0.03135000880408028,0.028920651492773782,0.019807318369767554,0.04611395598069173
0.1349925994873047,0.017005096911708262,0.008854002483223045,0.03143231432486,0.022338993897379363,0.006710860539656707,0.004480763393070497,0.41549328024153753,0.034801826705057444,0.0009568142939172775,0.06738924549093112,0.032091844626804866,0.060020435157394816,0.011032694162562945,0.02255305738634315,0.032666444452841316,0.01172717095674111,0.04795497909533971,0.15179117224168412,0.02069900363894684
0.1348537802696228,0.02837836279279787,0.04232077312139191,0.10524559941163278,0.023106225493139638,0.07976086700899378,0.07226030731691237,0.2565666287476692,0.057624183604646224,0.017102036312228272,0.01330649735705899,0.05601007903665988,0.13524766089008128,0.015361426032113353,0.018257721118050536,0.04424368353130195,0.014020785238826598,0.006936845234048724,0.006138944924948361,0.008111372827498194
